!3 Once the maximum number of players for a tournament is reached, new players cannot register. 


!|senet.server.tournament.CreateTournamentTemplate|
|Template Name|Game Type|Tournament Type|Max Players|
|Blackjack Tournament|BlackJack|PRESET|4|

!|Create tournament|June Blackjack Tournament|from template|Blackjack Tournament|with signup start time|18/06/2009 10:00:00|and signup end time|19/06/2009 09:57:00|

!|Force state for|June Blackjack Tournament|to|Registering|

!|Player registers for tournament|
|Tournament name|Player name|Signup time|message?|
|June Blackjack Tournament|Adam|18/06/2009 10:00:00|OK|
|June Blackjack Tournament|Bill|18/06/2009 10:01:00|OK|
|June Blackjack Tournament|Carl|18/06/2009 10:02:00|OK|
|June Blackjack Tournament|Dane|18/06/2009 10:03:00|OK|
|June Blackjack Tournament|Edmund|18/06/2009 10:03:00|This tournament is already full|
