!|payout distribution|
|Finishing| Total Players|
||2-27|28-36|37-45|46-54|55-63|64-72|73-99|100-126|127-153|154-198|199-297|298-396|397-495|496-594|595-693|694-792|793-999|1000-1150|1151-1400|1401-1700|1701-2000|
|1|50.00|45.00|40.00|38.00|35.00|33.50|32.00|30.00|28.50|27.00|26.00|25.00|25.00|25.00|24.50|24.00|23.00|22.50|22.00|21.50|20.60|
|2|30.00|25.00|23.00|22.00|21.00|20.00|19.50|19.00|18.00|17.00|16.50|16.00|15.50|15.50|15.25|15.00|14.50|14.25|14.00|13.60|13.60|
|3|20.00|18.00|16.00|15.00|15.00|14.50|14.00|13.25|13.00|12.75|12.50|12.00|11.50|11.25|11.25|11.25|10.75|10.55|10.13|10.10|10.10|
|4||12.00|12.00|11.00|11.00|11.00|11.00|10.50|10.25|10.00|9.75|9.25|9.00|8.75|8.75|8.50|8.25|8.25|8.13|8.00|7.90|
|5|||9.00|8.00|8.00|8.00|8.00|7.50|7.50|7.50|7.25|7.00|6.75|6.50|6.50|6.50|6.25|6.25|6.13|6.00|5.90|
|6||||6.00|6.00|6.00|6.00|5.50|5.50|5.50|5.25|5.00|5.00|4.75|4.75|4.50|4.50|4.50|4.50|4.30|4.10|
|7|||||4.00|4.00|4.00|3.75|3.75|3.75|3.50|3.25|3.25|3.10|3.10|3.10|3.00|3.00|2.90|2.80|2.50|
|8||||||3.00|3.00|3.00|3.00|3.00|2.75|2.50|2.50|2.50|2.40|2.40|2.34|2.25|2.10|2.00|1.70|
|9|||||||2.50|2.25|2.25|2.25|2.10|2.00|2.00|1.95|1.90|1.80|1.70|1.60|1.50|1.40|1.20|
|10-12||||||||1.75|1.50|1.50|1.25|1.25|1.15|1.10|1.05|1.00|0.95|0.90|0.85|0.84|0.80|
|13-15|||||||||1.25|1.25|1.00|1.00|0.90|0.85|0.80|0.75|0.70|0.66|0.62|0.60|0.55|
|16-18||||||||||1.00|0.75|0.75|0.70|0.60|0.55|0.50|0.50|0.46|0.44|0.40|0.39|
|19-27|||||||||||0.60|0.55|0.50|0.45|0.43|0.40|0.39|0.37|0.35|0.33|0.32|
|28-36||||||||||||0.45|0.40|0.38|0.35|0.35|0.34|0.32|0.30|0.28|0.27|
|37-45|||||||||||||0.35|0.33|0.30|0.30|0.30|0.28|0.26|0.24|0.24|
|46-54||||||||||||||0.30|0.28|0.28|0.27|0.25|0.23|0.21|0.21|
|55-63|||||||||||||||0.25|0.25|0.24|0.22|0.21|0.19|0.19|
|64-72||||||||||||||||0.23|0.22|0.20|0.19|0.17|0.17|
|73-81|||||||||||||||||0.20|0.18|0.17|0.16|0.16|
|82-90|||||||||||||||||0.18|0.17|0.16|0.15|0.15|
|91-99||||||||||||||||||0.17|0.15|0.15|0.14|
|100-108||||||||||||||||||0.16|0.15|0.14|0.14|
|109-117|||||||||||||||||||0.14|0.14|0.13|
|118-126|||||||||||||||||||0.14|0.13|0.13|
|127-135|||||||||||||||||||0.13|0.13|0.12|
|136-162||||||||||||||||||||0.12|0.12|
|163-189|||||||||||||||||||||0.11|

